t,motion_raw,motion_smooth,is_boundary
4976,0.025842,0.045876,0
4977,0.025932,0.050116,0
4978,0.062661,0.045204,0
4979,0.025062,0.051827,0
4980,0.025345,0.057259,0
4981,0.025272,0.061827,0
4982,0.237026,0.050379,0
4983,0.026744,0.059706,0
4984,0.027023,0.066948,0
4985,0.026931,0.073043,0
4986,0.274092,0.066587,0
4987,0.024845,0.075094,0
4988,0.024666,0.081680,0
4989,0.024711,0.086829,0
4990,0.111342,0.085955,0
4991,0.025564,0.090559,0
4992,0.025372,0.093029,0
4993,0.232557,0.087497,0
4994,0.024077,0.091299,0
4995,0.023956,0.091834,0
4996,0.023904,0.090674,0
4997,0.393545,0.070064,0
4998,0.025289,0.083780,0
4999,0.026999,0.086986,0
5000,0.025460,0.088333,0
5001,0.302371,0.057614,0
5002,0.025175,0.079980,0
5003,0.025010,0.089720,0
5004,0.025053,0.097038,0
5005,0.136491,0.069359,0
5006,0.025013,0.088443,0
5007,0.024988,0.100880,0
5008,0.181981,0.086543,0
5009,0.023436,0.112919,0
5010,0.023618,0.127277,0
5011,0.023607,0.138138,0
5012,0.455655,0.111915,0
5013,0.024948,0.148695,0
5014,0.024750,0.166445,0
5015,0.024525,0.180388,0
5016,0.759575,0.130529,0
5017,0.024802,0.173651,0
5018,0.024625,0.200287,0
5019,0.024863,0.221814,0
5020,0.818818,0.166682,0
5021,0.024573,0.209786,0
5022,0.024996,0.241622,0
5023,0.601338,0.214168,0
5024,0.026203,0.260190,0
5025,0.025737,0.291801,0
5026,0.025785,0.315499,1
5027,0.843928,0.287300,0
5028,0.027225,0.335401,0
5029,0.027340,0.357249,0
5030,0.027290,0.370491,0
5031,1.484659,0.315339,0
5032,0.027877,0.374425,0
5033,0.028042,0.393985,0
5034,0.028077,0.404204,0
5035,1.771038,0.331886,0
5036,0.030376,0.394629,0
5037,0.029528,0.414408,0
5038,1.309382,0.351510,0
5039,0.029347,0.409141,0
5040,0.029010,0.431625,0
5041,0.028936,0.442559,1
5042,1.099824,0.377753,0
5043,0.027529,0.435006,0
5044,0.027119,0.446445,0
5045,0.027102,0.445606,0
5046,1.483193,0.392430,0
5047,0.026714,0.464002,0
5048,0.027163,0.464015,0
5049,0.027074,0.452256,0
5050,1.810181,0.408594,0
5051,0.026866,0.479340,0
5052,0.026990,0.468148,0
5053,1.789204,0.435977,0
5054,0.027192,0.480175,1
5055,0.027383,0.462369,0
5056,0.027352,0.435109,0
5057,1.591302,0.392242,0
5058,0.026381,0.409049,0
5059,0.026422,0.373311,0
5060,0.026510,0.329022,0
5061,1.002206,0.273084,0
5062,0.026875,0.295438,0
5063,0.026287,0.250850,0
5064,0.026291,0.199152,0
5065,0.516524,0.140037,0
5066,0.026535,0.175336,0
5067,0.026709,0.132086,0
5068,0.281715,0.083450,0
5069,0.026102,0.129514,0
5070,0.026302,0.099681,0
5071,0.026248,0.066313,0
5072,0.176321,0.029423,0
5073,0.026260,0.077692,0
5074,0.026120,0.059726,0
5075,0.026130,0.039785,0
5076,0.101989,0.017869,0
5077,0.026291,0.049340,0
5078,0.026420,0.039771,0
5079,0.026386,0.029185,0
5080,0.033248,0.017402,0
5081,0.026251,0.032681,0
5082,0.026099,0.027357,0
5083,0.027402,0.021300,0
5084,0.026211,0.029632,0
5085,0.026318,0.027191,0
5086,0.026285,0.024497,0
5087,0.025658,0.021462,0
5088,0.025907,0.026767,0
5089,0.026015,0.025804,0
5090,0.025940,0.024732,0
5091,0.025949,0.023573,0
5092,0.025593,0.026587,0
5093,0.025783,0.026473,0
5094,0.025720,0.026350,0
5095,0.030617,0.026130,0
5096,0.026391,0.026403,0
5097,0.026292,0.026376,0
5098,0.032402,0.026266,0
5099,0.024603,0.026264,0
5100,0.024780,0.026224,0
5101,0.024757,0.026179,0
5102,0.026586,0.025790,0
5103,0.025121,0.025783,0
5104,0.025178,0.025779,0
5105,0.025179,0.025771,0
5106,0.024752,0.025513,0
5107,0.025308,0.025565,0
5108,0.025301,0.025582,0
5109,0.025258,0.025593,0
5110,0.027158,0.025355,0
5111,0.024924,0.025716,0
5112,0.024816,0.025885,0
5113,0.026243,0.025633,0
5114,0.025458,0.026251,0
5115,0.025048,0.026490,0
5116,0.025063,0.026691,0
5117,0.033208,0.026680,0
5118,0.025790,0.026892,0
5119,0.025712,0.027010,0
5120,0.025674,0.027100,0
5121,0.031438,0.026942,0
5122,0.025722,0.027012,0
5123,0.025687,0.027067,0
5124,0.025596,0.027084,0
5125,0.031074,0.026796,0
5126,0.024740,0.026878,0
5127,0.024605,0.026839,0
5128,0.034159,0.026554,0
5129,0.024269,0.026558,0
5130,0.024323,0.026482,0
5131,0.024159,0.026354,0
5132,0.027944,0.026130,0
5133,0.025093,0.026444,0
